"H","L0601","032","645220","Maria","e689cee6-d906-428d-b4a4-4376775977c7","C",,,,,,,,,,,,,,,,,,,,,
"F","SUPC","Case Qty","Split Qty","Code","Item Status","Replaced Item","Pack","Size","Unit","Brand","Mfr #","Desc","Cat","Case $","Split $","Per Lb","Market","Splittable","Splits","Min Split","Net Wt","Lead Time","Stock","Substitute","Agr",,
"P","8301786",,,,,,"24","12.5OZ","OZ","JARRITO","010804","Soda Fruit Punch Flavored","Canned & Dry",25.95,,"N",,false,,0,32.7,,"STOCKED",,"N",,
"P","7192667",,,,,,"24","524 ML","ML","JARRITO","015501","Soda Orange Mandarine Pet","Canned & Dry",24.65,,"N",,false,,0,27.73,,"NONSTOCK",,"N",,
"P","8443741",,,,,,"24","500ML","ML","JARRITO","090478415024","Soda Tamarind","Canned & Dry",26.81,,"N",,false,,0,29.87,,"NONSTOCK",,"N",,
"P","3051695",,,,,,"24","11.16Z","OZ","JARRITO","030002","Soda Sangria Senorial","Canned & Dry",24.65,,"N",,false,,0,32.32,,"STOCKED",,"N",,
"P","8298996",,,,,,"24","12.5OZ","OZ","JARRITO","010805","Soda Grapefruit","Canned & Dry",25.95,,"N",,false,,0,32.7,,"STOCKED",,"N",,
"P","3729645",,,,,,"24","12 OZ","OZ","RED BULL","RB203753","Drink Energy Red Bull Yellow Edition","Canned & Dry",66.95,,"N",,false,,0,19.7,,"STOCKED",,"N",,
"P","3729672",,,,,,"24","12 OZ","OZ","RED BULL","RB203752","Drink Energy Red Bull Blue Edition","Canned & Dry",68.65,,"N",,false,,0,19.7,,"NONSTOCK",,"N",,
"P","5258890",,,,,,"24","12 OZ",,"RED BULL","RB221027","Drink Energy Coconut Berry Edition","Canned & Dry",68.65,,"N",,false,,0,19.7,,"DEMAND",,"N",,
"C","Paper & Disposable",,,,,,,,,,,,,,,,,,,,,,,,,,
"P","8593602",,,,,,"4","125CT","CT","SYSCO CLASSIC","YMW9SYSCO","Plate Foam Laminated White 8.875 Inches","Paper & Disposable",49.16,,"N",,false,,0,8.779,,"STOCKED",,"N",,
"P","1995663",,,,,,"20","50CT","CT","SYSCO CLASSIC","D12THCWSYS","Cup Paper Hot White Tall 12 Ounce","Paper & Disposable",75.3,,"N",,false,,0,23.71,,"STOCKED",,"N",,
"P","5274832",,,,,,"4","125 CT","CT","SYSCO RELIANCE","0TH1S0090000","Plate Foam Unlaminated White 9 Inch","Paper & Disposable",31.83,,"N",,false,,0,4.846,,"STOCKED",,"N",,
"P","2000521",,,,,,"10","100CT","CT","SYSCO CLASSIC","DDL124WDSYS","Lid Plastic White Dome For 10-24 Ounce","Paper & Disposable",76.31,,"N",,false,,0,6.9,,"STOCKED",,"N",,
"P","7131355",,,,,,"6","70 CT","CT","EARTH PLUS","YP1412CSYSA","Cup Plastic Clear Rpet 12-14 Ounce","Paper & Disposable",39.33,,"N",,false,,0,12.315,,"STOCKED",,"N",,
"P","2099359",,,,,,"10","144CT","CT","SYSCO CLASSIC","305113002","Hairnet Nylon Large Black Light Weight","Paper & Disposable",201.95,21.39,"N",,true,,1,3.96,,"STOCKED",,"N",,
"P","1953686",,,,,,"1","200 CT","CT","COOPER INSTRUMENT","9150-0-8","Wipe Antibacterial Probe","Paper & Disposable",22.99,,"N",,false,,0,1,,"REMOTE",,"N",,
"P","7790239",,,,,,"12","200CT","CT","SYSCO RELIANCE","YS200SYS","Cup Plastic Portion Translucent 2 Ounce","Paper & Disposable",50.28,,"N",,false,,0,11.587,,"STOCKED",,"N",,
"P","7790795",,,,,,"24","100CT","CT","SYSCO IMPERIAL","YLS2FRSYS","Lid Plastic Clear For 1.5-2.5 Ounce Portion","Paper & Disposable",38.59,,"N",,false,,0,6.878,,"STOCKED",,"N",,
"P","8018838",,,,,,"240","16OZ","OZ","DELITAINER (NEWSPRING)","YSD2516","Container Plastic Deli Translucent With Lid","Paper & Disposable",38.5,,"N",,false,,0,14.44,,"STOCKED",,"N",,
